original values				detectEVE	original values											detectEVE values												
Contig	name	Host_species	Location	locus	Orientation	Best_viral_match	NR evalue	PFAM evalue	region	element																		
idAnoDarlMG_H_01.Chr3	AdarRha15	Anopheles darlingi	32541972-32542163	NC_064875.1_32541724-32542250:-	-	Culex tritaeniorhynchus	3.00E-03	n.s.	192/63*	Glycoprotein; Class III	ssRNA-	Rhabdoviridae	Culex tritaeniorhynchus rhabdovirus	46.1 %	192	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE027	high	100	viral (4)	UDB Viruses (2), VDB (2)	5.01E-23	32.2	hypothetical protein [Merida virus] acc=QGA70898.1	hypothetical protein [Merida virus] acc=QGA70898.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota		
idAnoDarlMG_H_01.Chr3	AdarRha16	Anopheles darlingi	32541491-32541682	NC_064875.1_32540970-32541769:-	-	Culex tritaeniorhynchus	2.00E-03	n.s.	192/63	Glycoprotein; Class III	ssRNA-	Rhabdoviridae	Culex tritaeniorhynchus rhabdovirus	46.1 %	192	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE026	high	100	viral (5)	VDB (3), UDB Viruses (2)	8.02E-31	31	hypothetical protein [Merida virus] acc=QGA70898.1	hypothetical protein [Merida virus] acc=QGA70898.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota		
idAnoDarlMG_H_01.Chr3	AdarRha17	Anopheles darlingi	32545978-32546169	NC_064875.1_32545730-32546256:-	-	Culex tritaeniorhynchus	3.00E-03	n.s.	192/63	Glycoprotein; Class III	ssRNA-	Rhabdoviridae	Culex tritaeniorhynchus rhabdovirus	46.1 %	192	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE031	high	100	viral (4)	UDB Viruses (2), VDB (2)	5.01E-23	32.2	hypothetical protein [Merida virus] acc=QGA70898.1	hypothetical protein [Merida virus] acc=QGA70898.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota		
idAnoDarlMG_H_01.Chr3	AdarRha18	Anopheles darlingi	32545497-32545688	NC_064875.1_32544976-32545775:-	-	Culex tritaeniorhynchus	2.00E-03	n.s.	192/63	Glycoprotein; Class III	ssRNA-	Rhabdoviridae	Culex tritaeniorhynchus rhabdovirus	46.1 %	192	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE030	high	100	viral (5)	VDB (3), UDB Viruses (2)	8.02E-31	31	hypothetical protein [Merida virus] acc=QGA70898.1	hypothetical protein [Merida virus] acc=QGA70898.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota		
idAnoDarlMG_H_01.Chr3	AdarRha19	Anopheles darlingi	32546459-32546650	NC_064875.1_32546211-32546737:-	-	Culex tritaeniorhynchus	3.00E-03	n.s.	192/63	Glycoprotein; Class III	ssRNA-	Rhabdoviridae	Culex tritaeniorhynchus rhabdovirus	46.1 %	192	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE032	high	100	viral (4)	UDB Viruses (2), VDB (2)	5.55E-24	32.2	hypothetical protein [Merida virus] acc=QGA70898.1	hypothetical protein [Merida virus] acc=QGA70898.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota		
idAnoDarlMG_H_01.Chr3	AdarRha20	Anopheles darlingi	32549218-32549409	NC_064875.1_32548697-32549496:-	-	Culex tritaeniorhynchus	2.00E-03	n.s.	192/63	Glycoprotein; Class III	ssRNA-	Rhabdoviridae	Culex tritaeniorhynchus rhabdovirus	46.1 %	192	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE034	high	100	viral (5)	VDB (3), UDB Viruses (2)	3.07E-31	31.4	hypothetical protein [Merida virus] acc=QGA70898.1	hypothetical protein [Merida virus] acc=QGA70898.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota		
idAnoDarlMG_H_01.Chr3	AdarRha21	Anopheles darlingi	32549699-32549890	NC_064875.1_32549451-32549977:-	-	Culex tritaeniorhynchus	2.00E-03	n.s.	192/63	Glycoprotein; Class III	ssRNA-	Rhabdoviridae	Culex tritaeniorhynchus rhabdovirus	46.1 %	192	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE035	high	100	viral (4)	UDB Viruses (2), VDB (2)	4.49E-22	31.7	hypothetical protein [Merida virus] acc=QGA70898.1	hypothetical protein [Merida virus] acc=QGA70898.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota		
idAnoDarlMG_H_01.Chr3	AdarRha22	Anopheles darlingi	32550180-32550371	NC_064875.1_32549932-32550365:-	-	Culex tritaeniorhynchus	2.00E-03	n.s.	192/63	Glycoprotein; Class III	ssRNA-	Rhabdoviridae	Culex tritaeniorhynchus rhabdovirus	46.1 %	192	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE036	high	100	viral (4)	UDB Viruses (2), VDB (2)	3.41E-23	35.6	hypothetical protein [Merida virus] acc=QGA70898.1	hypothetical protein [Merida virus] acc=QGA70898.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota		
idAnoDarlMG_H_01.Chr3	AdarChu2	Anopheles darlingi	32259336-32259611	NC_064875.1_32259041-32259470:+	#ERROR!	Stegomyia albopicta	2.00E-15	n.s.	255/84	No detected	ssRNA-	Chuviridae	Kaiowa virus	46.3 %	276	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE064	high	34	maybe-viral (17), viral (9), non-viral (5), retro (3)	uncharacterized protein (10), annotated protein of Eukaryota (5), VDB (5), polyprotein protein (4), UDB Viruses (4), glycoprotein protein (3), retro (2), reverse transcriptase (1)	1.03E-31	85.9	Putative polyprotein n=1 Tax=Anopheles darlingi  RepID=A0A2M4CVY8_ANODA	glycoprotein [Kaiowa virus] acc=ASV45863.1	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Kaiowa virus	Arthropoda		
idAnoDarlMG_H_01.ChrX	AdarChu11	Anopheles darlingi	7638229-7640226	NC_064873.1_7638295-7640208:+	#ERROR!	Ixodes holocyclus	7.00E-75	n.s.	1998/665	Envelope glycoprotein	ssRNA-	Chuviridae	Genoa virus	26.5 %	1998	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE072	low	20	maybe-viral (6)	uncharacterized protein (3), polyprotein protein (2), glycoprotein protein (1)	0	94.5	Putative polyprotein n=1 Tax=Anopheles darlingi  RepID=A0A2M4CVY8_ANODA	NA	NA	Arthropoda		
idAnoDarlMG_H_01.ChrX	AdarChu10	Anopheles darlingi	7624919-7626926	NC_064873.1_7625727-7626872:-	-	Ixodes holocyclus	6.00E-75	n.s.	2010/669	Envelope glycoprotein	ssRNA-	Chuviridae	Genoa virus	26.5 %	2011	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE057	high	37	maybe-viral (6), viral (2), non-viral (1)	uncharacterized protein (3), polyprotein protein (2), annotated protein of Eukaryota (1), glycoprotein protein (1), UDB Viruses (1), VDB (1)	1.70E-259	99.7	Putative polyprotein n=1 Tax=Anopheles darlingi  RepID=A0A2M4CVY8_ANODA	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 1	Arthropoda		
tig00027226_pilon	Travis_contig7	Macrosiphum euphorbiae	137632-138266	JARHUA010000805.1_137246-138973:+	n.s.	n.s.	n.s.	n.s.	n.s.	n.s.	ssDNA	Ambidensovirus	NA	84.90%	NA	JARHUA01_EVE024	high	85	viral (15), maybe-viral (2), non-viral (1)	VDB (8), UDB Viruses (4), capsid (3), uncharacterized protein (2), annotated protein of Eukaryota (1)	4.51E-209	74.9	Capsid protein n=2 Tax=Macrosiphini  RepID=A0A8R2HBP1_ACYPI	putative structural protein [Cecropis daurica parvoviridae sp.] acc=QVW56831.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Cecropis daurica parvoviridae sp.	Cossaviricota		
tig00029914_pilon	Travis_contig2	Macrosiphum euphorbiae	59114-59579	JARHUA010000803.1_59087-59839:-	n.s.	n.s.	n.s.	n.s.	n.s.	n.s.	ssDNA	Ambidensovirus	NA	99.80%	NA	JARHUA01_EVE033	high	75	viral (15), non-viral (3), maybe-viral (2)	VDB (7), UDB Viruses (5), annotated protein of Eukaryota (3), uncharacterized protein (2), virus (2), capsid (1)	1.32E-152	82.8	SF3 helicase domain-containing protein n=3 Tax=Macrosiphini  RepID=A0A8R1W9G0_ACYPI	putative nonstructural protein [Cecropis daurica parvoviridae sp.] acc=QVW56830.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Cecropis daurica parvoviridae sp.	Cossaviricota		
tig00029914_pilon	Travis_contig1	Macrosiphum euphorbiae	59559-60345	JARHUA010000803.1_59087-59839:-	n.s.	n.s.	n.s.	n.s.	n.s.	n.s.	ssDNA	Ambidensovirus	NA	98.90%	NA	JARHUA01_EVE033	high	75	viral (15), non-viral (3), maybe-viral (2)	VDB (7), UDB Viruses (5), annotated protein of Eukaryota (3), uncharacterized protein (2), virus (2), capsid (1)	1.32E-152	82.8	SF3 helicase domain-containing protein n=3 Tax=Macrosiphini  RepID=A0A8R1W9G0_ACYPI	putative nonstructural protein [Cecropis daurica parvoviridae sp.] acc=QVW56830.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Cecropis daurica parvoviridae sp.	Cossaviricota		
tig00029914_pilon	Travis_contig1	Macrosiphum euphorbiae	59559-60345	JARHUA010000803.1_60129-61519:-	n.s.	n.s.	n.s.	n.s.	n.s.	n.s.	ssDNA	Ambidensovirus	NA	98.90%	NA	JARHUA01_EVE224	low	20	maybe-viral (5), non-viral (3), viral (1)	uncharacterized protein (5), annotated protein of Eukaryota (3), capsid (1)	8.71E-88	46.9	Uncharacterized protein n=2 Tax=Acyrthosiphon pisum  RepID=A0A8R2JW35_ACYPI	NA	NA	Arthropoda		
tig00030708_pilon	Travis_contig1	Macrosiphum euphorbiae	197258-198038	JARHUA010000390.1_196642-198433:+	n.s.	n.s.	n.s.	n.s.	n.s.	n.s.	ssDNA	Ambidensovirus	NA	96.70%	NA	JARHUA01_EVE035	high	74	viral (15), non-viral (3), maybe-viral (2)	VDB (7), UDB Viruses (5), annotated protein of Eukaryota (3), uncharacterized protein (2), virus (2), capsid (1)	6.66E-157	73	SF3 helicase domain-containing protein n=3 Tax=Macrosiphini  RepID=A0A8R1W9G0_ACYPI	NS1 [Myzus persicae nicotianae densovirus] acc=ALL74042.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Ambidensovirus;s__Hemipteran ambidensovirus 3	Cossaviricota		
tig00030708_pilon	Travis_contig7	Macrosiphum euphorbiae	85557-86191	JARHUA010000390.1_85217-86891:+	n.s.	n.s.	n.s.	n.s.	n.s.	n.s.	ssDNA	Ambidensovirus	NA	100.00%	NA	JARHUA01_EVE023	high	85	viral (15), maybe-viral (2), non-viral (1)	VDB (8), UDB Viruses (4), capsid (3), uncharacterized protein (2), annotated protein of Eukaryota (1)	7.40E-225	80.1	Capsid protein n=2 Tax=Macrosiphini  RepID=A0A8R2HBP1_ACYPI	putative structural protein [Cecropis daurica parvoviridae sp.] acc=QVW56827.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Cecropis daurica parvoviridae sp.	Cossaviricota		
tig00030708_pilon	Travis_contig5	Macrosiphum euphorbiae	91585-92758	JARHUA010000390.1_91557-92195:-	n.s.	n.s.	n.s.	n.s.	n.s.	n.s.	ssDNA	Ambidensovirus	NA	99.90%	NA	JARHUA01_EVE031	high	75	viral (15), non-viral (3), maybe-viral (2)	VDB (7), UDB Viruses (5), annotated protein of Eukaryota (3), uncharacterized protein (2), virus (2), capsid (1)	1.10E-127	84.4	SF3 helicase domain-containing protein n=3 Tax=Macrosiphini  RepID=A0A8R1W9G0_ACYPI	putative nonstructural protein [Cecropis daurica parvoviridae sp.] acc=QVW56830.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Cecropis daurica parvoviridae sp.	Cossaviricota		
tig00030708_pilon	Travis_contig2	Macrosiphum euphorbiae	198018-198433	JARHUA010000390.1_196642-198433:+	n.s.	n.s.	n.s.	n.s.	n.s.	n.s.	ssDNA	Ambidensovirus	NA	96.20%	NA	JARHUA01_EVE035	high	74	viral (15), non-viral (3), maybe-viral (2)	VDB (7), UDB Viruses (5), annotated protein of Eukaryota (3), uncharacterized protein (2), virus (2), capsid (1)	6.66E-157	73	SF3 helicase domain-containing protein n=3 Tax=Macrosiphini  RepID=A0A8R1W9G0_ACYPI	NS1 [Myzus persicae nicotianae densovirus] acc=ALL74042.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Ambidensovirus;s__Hemipteran ambidensovirus 3	Cossaviricota		
tig00030708_pilon	Travis_contig6	Macrosiphum euphorbiae	84525-85562	JARHUA010000390.1_85217-86891:+	n.s.	n.s.	n.s.	n.s.	n.s.	n.s.	ssDNA	Ambidensovirus	NA	99.80%	NA	JARHUA01_EVE023	high	85	viral (15), maybe-viral (2), non-viral (1)	VDB (8), UDB Viruses (4), capsid (3), uncharacterized protein (2), annotated protein of Eukaryota (1)	7.40E-225	80.1	Capsid protein n=2 Tax=Macrosiphini  RepID=A0A8R2HBP1_ACYPI	putative structural protein [Cecropis daurica parvoviridae sp.] acc=QVW56827.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Cecropis daurica parvoviridae sp.	Cossaviricota		
